AAA028I14.genome.CDS.1545,group01997
AAA028I14.genome.CDS.1544,group01400
AAA028I14.genome.CDS.1330,group00913
AAA028I14.genome.CDS.1394,group00946
AAA028I14.genome.CDS.1368,group00765
AAA028I14.genome.CDS.937,group04676
AAA028I14.genome.CDS.1193,group00273
AAA028I14.genome.CDS.1253,group00749
AAA028I14.genome.CDS.1252,group00185
AAA028I14.genome.CDS.819,group00785
AAA028I14.genome.CDS.1041,group02303
AAA028I14.genome.CDS.1523,group01591
AAA028I14.genome.CDS.826,group00020
AAA028I14.genome.CDS.827,group00813
AAA028I14.genome.CDS.1383,group00781
AAA028I14.genome.CDS.825,group00021
AAA028I14.genome.CDS.1385,group00100
AAA028I14.genome.CDS.823,group01124
AAA028I14.genome.CDS.1387,group00700
AAA028I14.genome.CDS.821,group01022
AAA028I14.genome.CDS.1389,group00675
AAA028I14.genome.CDS.1257,group00270
AAA028I14.genome.CDS.1337,group00756
AAA028I14.genome.CDS.828,group00653
AAA028I14.genome.CDS.829,group00821
AAA028I14.genome.CDS.996,group01365
AAA028I14.genome.CDS.1527,group00013
AAA028I14.genome.CDS.1339,group00773
AAA028I14.genome.CDS.1254,group00996
AAA028I14.genome.CDS.994,group00717
AAA028I14.genome.CDS.928,group04666
AAA028I14.genome.CDS.1232,group00406
AAA028I14.genome.CDS.992,group00436
AAA028I14.genome.CDS.1234,group00721
AAA028I14.genome.CDS.1266,group00474
AAA028I14.genome.CDS.1267,group01213
AAA028I14.genome.CDS.1264,group00729
AAA028I14.genome.CDS.1265,group01075
AAA028I14.genome.CDS.1262,group00886
AAA028I14.genome.CDS.990,group00389
AAA028I14.genome.CDS.1149,group00879
AAA028I14.genome.CDS.1261,group00789
AAA028I14.genome.CDS.1147,group00133
AAA028I14.genome.CDS.1146,group00830
AAA028I14.genome.CDS.1145,group00480
AAA028I14.genome.CDS.991,group00431
AAA028I14.genome.CDS.1143,group00323
AAA028I14.genome.CDS.1142,group00484
AAA028I14.genome.CDS.1268,group01212
AAA028I14.genome.CDS.1269,group00744
AAA028I14.genome.CDS.1510,group02344
AAA028I14.genome.CDS.1392,group00717
AAA028I14.genome.CDS.1511,group04664
AAA028I14.genome.CDS.733,group00875
AAA028I14.genome.CDS.1109,group00050
AAA028I14.genome.CDS.1513,group04662
AAA028I14.genome.CDS.830,group00778
AAA028I14.genome.CDS.1393,group00039
AAA028I14.genome.CDS.1200,group00059
AAA028I14.genome.CDS.1168,group01915
AAA028I14.genome.CDS.1451,group02576
AAA028I14.genome.CDS.1318,group04634
AAA028I14.genome.CDS.1319,group04633
AAA028I14.genome.CDS.1102,group00320
AAA028I14.genome.CDS.1312,group00019
AAA028I14.genome.CDS.1204,group00299
AAA028I14.genome.CDS.1310,group00101
AAA028I14.genome.CDS.1311,group00077
AAA028I14.genome.CDS.1316,group01944
AAA028I14.genome.CDS.1317,group04635
AAA028I14.genome.CDS.1314,group02061
AAA028I14.genome.CDS.1315,group04636
AAA028I14.genome.CDS.1452,group02575
AAA028I14.genome.CDS.1478,group01018
AAA028I14.genome.CDS.1107,group00410
AAA028I14.genome.CDS.1106,group00718
AAA028I14.genome.CDS.1208,group00257
AAA028I14.genome.CDS.1105,group01014
AAA028I14.genome.CDS.1209,group00362
AAA028I14.genome.CDS.1104,group00217
AAA028I14.genome.CDS.1391,group00239
AAA028I14.genome.CDS.909,group00546
AAA028I14.genome.CDS.908,group00022
AAA028I14.genome.CDS.1443,group04651
AAA028I14.genome.CDS.1037,group02558
AAA028I14.genome.CDS.1036,group02556
AAA028I14.genome.CDS.1035,group02557
AAA028I14.genome.CDS.1034,group02558
AAA028I14.genome.CDS.1032,group01210
AAA028I14.genome.CDS.1031,group01542
AAA028I14.genome.CDS.1030,group02686
AAA028I14.genome.CDS.1298,group00485
AAA028I14.genome.CDS.1039,group02556
AAA028I14.genome.CDS.1038,group02557
AAA028I14.genome.CDS.1587,group00588
AAA028I14.genome.CDS.1586,group00423
AAA028I14.genome.CDS.1585,group00585
AAA028I14.genome.CDS.1584,group00600
AAA028I14.genome.CDS.1428,group00462
AAA028I14.genome.CDS.1429,group00298
AAA028I14.genome.CDS.1581,group00556
AAA028I14.genome.CDS.1580,group00527
AAA028I14.genome.CDS.1424,group00622
AAA028I14.genome.CDS.1425,group00874
AAA028I14.genome.CDS.1426,group00667
AAA028I14.genome.CDS.1427,group00494
AAA028I14.genome.CDS.1420,group00549
AAA028I14.genome.CDS.868,group00559
AAA028I14.genome.CDS.1422,group00463
AAA028I14.genome.CDS.1588,group00741
AAA028I14.genome.CDS.1150,group00183
AAA028I14.genome.CDS.902,group00487
AAA028I14.genome.CDS.1151,group00606
AAA028I14.genome.CDS.1110,group00139
AAA028I14.genome.CDS.926,group04656
AAA028I14.genome.CDS.1259,group00788
AAA028I14.genome.CDS.1459,group02570
AAA028I14.genome.CDS.1458,group02062
AAA028I14.genome.CDS.1512,group04663
AAA028I14.genome.CDS.1108,group00333
AAA028I14.genome.CDS.1514,group04661
AAA028I14.genome.CDS.1515,group04665
AAA028I14.genome.CDS.1516,group01640
AAA028I14.genome.CDS.1517,group00871
AAA028I14.genome.CDS.1103,group00206
AAA028I14.genome.CDS.1450,group02565
AAA028I14.genome.CDS.1101,group01752
AAA028I14.genome.CDS.1100,group00184
AAA028I14.genome.CDS.1455,group02573
AAA028I14.genome.CDS.1454,group01945
AAA028I14.genome.CDS.1457,group02571
AAA028I14.genome.CDS.1456,group02572
AAA028I14.genome.CDS.862,group00987
AAA028I14.genome.CDS.863,group02694
AAA028I14.genome.CDS.860,group00941
AAA028I14.genome.CDS.861,group00925
AAA028I14.genome.CDS.866,group01441
AAA028I14.genome.CDS.867,group01142
AAA028I14.genome.CDS.864,group00760
AAA028I14.genome.CDS.865,group00711
AAA028I14.genome.CDS.901,group01082
AAA028I14.genome.CDS.900,group00496
AAA028I14.genome.CDS.903,group00001
AAA028I14.genome.CDS.869,group01194
AAA028I14.genome.CDS.905,group04642
AAA028I14.genome.CDS.904,group00568
AAA028I14.genome.CDS.907,group00827
AAA028I14.genome.CDS.906,group00003
AAA028I14.genome.CDS.1250,group00483
AAA028I14.genome.CDS.1549,group00553
