id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn06510_c0	<=>	c0	acIB-AMD-7.genome.CDS.1566	Lauroyl-CoA:acetyl-CoA C-acyltransferase_c0	Unknown	Unknown	None	(1) cpd01260[c0] + (1) cpd00022[c0] <=> (1) cpd00010[c0] + (1) cpd12689[c0]
rxn05596_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1572) or (acIB-AMD-7.genome.CDS.1571)	potassium transport out via proton antiport_c0	Unknown	Unknown	None	(1) cpd00067[e0] + (1) cpd00205[c0] <=> (1) cpd00067[c0] + (1) cpd00205[e0]
rxn01489_c0	=>	c0	acIB-AMD-7.genome.CDS.1272	Geranylgeranyl-diphosphate:geranylgeranyl-diphosphate_c0	Unknown	Unknown	None	(2) cpd00289[c0] => (1) cpd00012[c0] + (1) cpd02168[c0]
rxn00262_c0	=>	c0	(acIB-AMD-7.genome.CDS.1496) or (acIB-AMD-7.genome.CDS.1351)	L-Aspartic acid:oxygen oxidoreductase (deaminating)_c0	Unknown	Unknown	None	(1) cpd00041[c0] + (1) cpd00001[c0] + (1) cpd00007[c0] => (1) cpd00032[c0] + (1) cpd00013[c0] + (1) cpd00025[c0]
rxn00183_c0	=>	c0	acIB-AMD-7.genome.CDS.1692	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00858[c0] + (1) cpd00001[c0] + (1) cpd00003[c0] => (2) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd00023[c0]
rxn00710_c0	=>	c0	acIB-AMD-7.genome.CDS.1375	Orotidine-5'-phosphate carboxy-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00810[c0] => (1) cpd00091[c0] + (1) cpd00011[c0]
rxn10308_c0	<=>	c0	(acIB-AMD-7.genome.CDS.978) or (acIB-AMD-7.genome.CDS.1966) or (acIB-AMD-7.genome.CDS.1199)	myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(1) cpd15747[c0] + (24) cpd00037[c0] <=> (24) cpd00014[c0] + (1) cpd15765[c0]
rxn01649_c0	<=>	c0	acIB-AMD-7.genome.CDS.1630	Xanthosine:orthophosphate ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd01217[c0] + (1) cpd00009[c0] <=> (1) cpd00475[c0] + (1) cpd00309[c0]
rxn00525_c0	=>	c0	acIB-AMD-7.genome.CDS.1825	L-arogenate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00616[c0] + (1) cpd00003[c0] => (1) cpd00011[c0] + (1) cpd00004[c0] + (1) cpd00069[c0]
rxn01301_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1975) or (acIB-AMD-7.genome.CDS.1801)	L-Homoserine:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00004[c0]
rxn13782_c0	=>	c0	((acIB-AMD-7.genome.CDS.1354) or (acIB-AMD-7.genome.CDS.1493) or (acIB-AMD-7.genome.CDS.1261)) and () and () and () and () and () and (acIB-AMD-7.genome.CDS.1678) and () and () and () and () and ((acIB-AMD-7.genome.CDS.1971) or (acIB-AMD-7.genome.CDS.1796)) and (acIB-AMD-7.genome.CDS.1424) and (acIB-AMD-7.genome.CDS.1481) and (acIB-AMD-7.genome.CDS.1345) and () and () and () and () and ((acIB-AMD-7.genome.CDS.1928) or (acIB-AMD-7.genome.CDS.1927)) and () and () and (acIB-AMD-7.genome.CDS.1344) and () and () and () and () and () and () and (acIB-AMD-7.genome.CDS.1015) and () and () and (acIB-AMD-7.genome.CDS.1432) and () and (acIB-AMD-7.genome.CDS.229) and (acIB-AMD-7.genome.CDS.1341) and (acIB-AMD-7.genome.CDS.1208) and (acIB-AMD-7.genome.CDS.1342) and (acIB-AMD-7.genome.CDS.1042) and () and () and () and (acIB-AMD-7.genome.CDS.1805) and () and () and () and () and () and ((acIB-AMD-7.genome.CDS.1383) or (acIB-AMD-7.genome.CDS.1843)) and () and () and () and () and () and ((acIB-AMD-7.genome.CDS.1017) or (acIB-AMD-7.genome.CDS.1892)) and (acIB-AMD-7.genome.CDS.1014) and (acIB-AMD-7.genome.CDS.1830) and () and () and () and () and () and () and () and (acIB-AMD-7.genome.CDS.1138) and () and () and () and () and (acIB-AMD-7.genome.CDS.1803) and () and () and () and (acIB-AMD-7.genome.CDS.1216) and () and () and ()	Protein biosynthesis_c0	Unknown	Unknown	None	 => (1) cpd17041[c0]
rxn00910_c0	<=>	c0	acIB-AMD-7.genome.CDS.1275	5-methyltetrahydrofolate:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00345[c0] <=> (1) cpd00067[c0] + (1) cpd00125[c0] + (1) cpd00005[c0]
rxn10311_c0	<=>	c0	(acIB-AMD-7.genome.CDS.978) or (acIB-AMD-7.genome.CDS.1966) or (acIB-AMD-7.genome.CDS.1199)	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(24) cpd00037[c0] + (1) cpd15750[c0] <=> (24) cpd00014[c0] + (1) cpd15768[c0]
rxn01486_c0	=>	c0	acIB-AMD-7.genome.CDS.1274	trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate_c0	Unknown	Unknown	None	(1) cpd00113[c0] + (1) cpd00350[c0] => (1) cpd00289[c0] + (1) cpd00012[c0]
