contig	BIN_10	MEint3864	MEint885
group01248	1	1	0
group01251	0	1	0
group01256	1	0	0
group01262	1	0	1
group01263	0	1	0
group01269	1	0	0
group01271	1	0	1
group01277	1	1	1
group01278	1	1	1
group01281	1	0	0
group01284	0	1	0
group01287	1	1	0
group01289	1	1	1
group01301	1	1	1
group01307	1	0	1
group01309	1	0	0
group01310	1	0	1
group01315	1	0	0
group01316	1	0	1
group01317	1	0	0
group01318	1	0	0
group01319	1	0	1
group01320	1	0	1
group01321	1	1	0
group01324	1	0	0
group01327	0	0	1
group01328	0	1	0
group01331	0	0	1
group01333	1	0	0
group01337	0	1	0
group01338	1	1	1
group01343	0	1	0
group01345	1	0	0
group01351	1	0	0
group01353	1	0	0
group01359	0	1	0
group01365	1	0	0
group01366	1	1	1
group01367	1	1	0
group01368	1	1	0
group01373	1	0	0
group01376	1	1	1
group01377	0	1	0
group01378	1	1	1
group01383	1	0	0
group01387	1	0	0
group01390	1	1	0
group01394	1	0	1
group01396	1	1	1
group01397	1	1	0
group01400	1	0	0
group01402	1	0	1
group01404	0	0	1
group01406	0	0	1
group01409	1	1	1
group01410	1	0	1
group01414	1	1	1
group01419	1	0	1
group01436	0	1	0
group01437	0	1	0
group01446	1	0	1
group01447	0	1	0
group01451	1	0	0
group01472	0	1	0
group01473	1	1	0
group01474	1	1	1
group01476	0	1	1
group01483	0	1	1
group01484	0	0	1
group01487	0	1	1
group01488	1	1	0
group01494	1	0	0
group01495	1	1	1
group01504	1	0	0
group01507	0	1	0
group01511	0	1	1
group01512	1	0	1
group01513	1	1	1
group01519	0	0	1
group01522	1	0	1
group01524	0	1	1
group01525	1	1	0
group01527	1	0	0
group01528	1	0	1
group01543	0	1	0
group01566	0	0	1
group01572	1	1	1
group01573	0	1	0
group01586	0	1	0
group01589	1	0	0
group01590	1	0	0
group01592	1	0	0
group01597	1	1	1
group01600	1	0	0
group01606	0	1	0
group01607	1	0	1
group01608	1	1	0
group01609	0	0	1
group01631	1	1	0
group01642	1	1	1
group01643	1	1	1
group01644	1	0	1
group01648	1	0	0
group01667	1	0	0
group01668	1	0	0
group01669	1	0	0
group01676	0	0	1
group01677	0	1	0
group01680	0	1	0
group01684	1	1	1
group01687	1	1	1
group01694	0	1	0
group01695	0	1	0
group01700	1	0	0
group01707	0	1	1
group01708	1	1	0
group01727	1	1	1
group01728	0	1	0
group01732	0	1	0
group01738	0	1	0
group01739	1	0	0
group01740	1	0	0
group01741	1	1	0
group01742	1	1	1
group01745	0	1	1
group01756	0	0	1
group01768	1	0	0
group01772	0	1	0
group01776	0	1	0
group01784	0	1	0
group01785	0	1	1
group01788	0	0	1
group01791	0	1	0
group01798	1	0	0
group01800	0	1	0
group01815	1	0	1
group01816	1	0	0
group01817	1	0	0
group01822	0	1	0
group01823	0	1	0
group01826	0	1	0
group01830	0	0	1
group01832	0	1	0
group01846	0	0	1
group01851	0	1	0
group01863	0	1	0
group01874	0	1	0
group01888	1	0	1
group01895	0	1	0
group01900	1	0	0
group01901	1	0	1
group01902	1	0	0
group01921	0	1	0
group01946	1	1	1
group01947	0	0	1
group01963	0	1	0
group01964	1	0	0
group01974	1	0	0
group01980	0	0	1
group01998	0	0	1
group02012	1	0	1
group02013	1	1	1
group02014	1	1	1
group02015	1	1	0
group02017	1	0	0
group02018	1	0	0
group02019	1	1	0
group02027	0	0	1
group02033	0	1	0
group02036	0	0	1
group02055	0	1	0
group02056	0	1	0
group02083	0	1	0
group02097	0	0	1
group02098	1	0	1
group02132	1	0	1
group02141	1	0	0
group02142	1	0	0
group02143	1	0	0
group02144	1	1	0
group02145	1	0	0
group02146	1	1	0
group02147	1	0	0
group02184	0	0	1
group02185	0	0	1
group02187	0	0	1
group02188	0	1	0
group02280	0	1	0
group02281	0	1	0
group02317	0	1	1
group02334	0	0	1
group02348	0	0	1
group02351	1	0	0
group02352	1	1	1
group02355	1	0	0
group02356	1	0	0
group02357	1	0	0
group02358	1	0	0
group02360	0	0	1
group02376	0	1	0
group02380	0	1	0
group02382	0	0	1
group02383	0	0	1
group02384	0	0	1
group02385	0	0	1
