	log2_avg_rpkm
group00543	10.8505851254
group00544	0.0
group00545	7.73644108598
group00546	0.0
group00547	10.133591932
group00548	8.44981314138
group00550	8.38054497134
group00551	8.66759030809
group00552	14.1908630068
group00553	8.43036510444
group00554	8.05697463064
group00555	0.0
group00556	0.0
group00557	14.0102523373
group00558	14.8199114775
group00561	0.0
group00562	0.0
group00563	7.46863252392
group00564	9.13939652896
group00565	8.60247181747
group00566	10.1119713269
group00567	9.75010501276
group00568	0.0
group00569	0.0
group00570	6.9955490982
group00571	10.5207243481
group00572	10.0219934052
group00573	9.75765429341
group00574	9.51946631453
group00575	9.70854315079
group00576	7.43979184037
group00577	8.94410451993
group00578	9.67902253067
group00579	0.0
group00580	13.9713044047
group00582	0.0
group00583	7.68405980925
group00584	10.1523260225
group00585	0.0
group00586	0.0
group00587	8.11319403512
group00588	9.45656387854
group00589	10.0009691846
group00590	0.0
group00591	10.466067381
group00592	0.0
group00593	12.143210459
group00594	12.1560975957
group00595	14.0680701404
group00596	0.0
group00597	0.0
group00598	0.0
group00599	7.68367888893
group00600	0.0
group00601	7.72882739209
group00605	0.0
group00607	11.6070624671
group00608	7.80436786601
group00609	9.20751596568
group00610	12.3913132033
group00611	10.4463053143
group00612	8.70003552168
group00613	12.9799522317
group00614	0.0
group00616	13.9502437583
group00617	7.82573053769
group00618	13.431221799
group00620	7.56703377135
group00621	0.0
group00624	0.0
group00625	0.0
group00627	9.56344292764
group00628	8.04644920159
group00630	7.29147885715
group00631	9.16341850181
group00632	11.3056599881
group00633	10.1548533712
group00634	0.0
group00636	7.09400391917
group00637	0.0
group00638	7.55715302223
group00639	7.41574193362
group00640	7.6009086845
group00641	0.0
group00642	0.0
group00643	12.1554478656
group00644	0.0
group00645	6.364356337
group00646	0.0
group00648	8.94487689766
group00649	13.9900099254
group00650	10.47710163
group00651	10.1243403961
group00653	7.61638151779
group00654	12.0661629035
group00655	10.5823681323
group00657	9.95589793348
group00658	7.99471315679
group00659	13.6279471941
group00660	9.97538941068
group00661	8.57569277761
group00662	8.93903539717
group00663	10.969466017
group00664	7.6986409673
group00665	8.45849366398
group00666	15.0239468216
group00668	0.0
group00669	13.2388262391
group00671	12.3650617071
group00673	9.42568325171
group00674	9.17407440935
group00675	0.0
group00676	9.23777029007
group00677	8.77843602301
group00678	8.43456602923
group00682	10.8313378543
group00683	9.56731270503
group00684	6.77080504149
group00685	10.1547570353
group00687	10.3498968146
group00688	0.0
group00689	0.0
group00690	0.0
group00691	0.0
group00692	8.4010699194
group00693	0.0
group00694	7.51604942388
group00695	0.0
group00696	6.9476264833
group00699	8.53094247342
group00700	10.0050015139
group00701	10.0673581481
group00702	7.95351503354
group00703	9.71376770668
group00704	0.0
group00705	8.12296278623
group00708	8.95590069196
group00709	14.6418810512
group00711	10.7068916637
group00713	6.79027996584
group00714	6.34660328229
group00715	14.4208741626
group00717	9.28017410784
group00718	10.378428748
group00719	11.1813234529
group00720	8.14988475327
group00721	0.0
group00722	8.30144298861
group00723	0.0
group00725	7.037793474
group00726	9.72586113394
group00727	7.99467164711
group00728	8.87261527596
group00729	8.20418830245
